hand,age,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,rank,rank_points,won,surface,draw_size,tourney_level,tourney_date,best_of,round,minutes
R,23.7,10.0,9.0,104.0,64.0,41.0,24.0,15.0,6.0,10.0,172.0,389.0,0,Hard,128,G,2021,5,R64,124.0
R,21.7,3.0,7.0,109.0,60.0,40.0,20.0,14.0,9.0,12.0,54.0,945.0,0,Grass,32,A,2018,3,R16,131.0
R,29.1,7.0,4.0,97.0,55.0,43.0,17.0,14.0,8.0,11.0,10.0,2555.0,0,Hard,32,A,2020,3,SF,141.0
R,28.8,5.0,4.0,91.0,62.0,40.0,13.0,16.0,1.0,6.0,37.0,1103.0,0,Clay,32,A,2022,3,QF,145.0
L,22.7,3.0,11.0,104.0,65.0,50.0,18.0,15.0,3.0,5.0,14.0,2593.0,1,Hard,128,G,2022,5,R16,141.0
L,30.9,8.0,1.0,99.0,71.0,46.0,13.0,15.0,6.0,10.0,308.0,130.0,0,Hard,128,G,2020,5,R128,126.0
R,26.7,3.0,1.0,57.0,36.0,24.0,9.0,10.0,2.0,6.0,55.0,1084.0,0,Hard,32,A,2022,3,R16,80.0
U,24.5,6.0,0.0,102.0,68.0,47.0,16.0,15.0,3.0,6.0,426.0,96.0,0,Hard,32,A,2022,3,R32,130.0
R,35.6,6.0,4.0,66.0,30.0,25.0,20.0,11.0,0.0,1.0,76.0,852.0,1,Hard,32,A,2022,3,R32,103.0
R,26.3,4.0,5.0,67.0,45.0,31.0,10.0,12.0,1.0,4.0,17.0,2091.0,0,Clay,32,A,2019,3,R32,111.0
L,27.0,6.0,0.0,83.0,57.0,39.0,15.0,10.0,7.0,7.0,38.0,1105.0,1,Hard,64,M,2022,3,R64,91.0
R,28.2,5.0,1.0,96.0,61.0,43.0,19.0,13.0,6.0,9.0,235.0,220.0,1,Hard,128,G,2017,5,R64,120.0
R,22.6,3.0,3.0,83.0,51.0,26.0,12.0,11.0,10.0,18.0,89.0,650.0,0,Hard,128,G,2019,5,R128,88.0
R,29.8,18.0,0.0,43.0,21.0,18.0,19.0,9.0,0.0,0.0,17.0,2265.0,1,Hard,64,M,2020,3,R64,63.0
R,24.4,3.0,1.0,59.0,36.0,25.0,15.0,9.0,2.0,2.0,6.0,4060.0,1,Clay,32,A,2018,3,F,90.0
R,23.4,14.0,5.0,82.0,56.0,35.0,17.0,14.0,5.0,7.0,38.0,1170.0,0,Hard,64,M,2018,3,R64,77.0
R,26.9,15.0,6.0,100.0,63.0,50.0,17.0,16.0,2.0,4.0,99.0,555.0,0,Hard,32,A,2018,3,R16,125.0
R,25.9,6.0,0.0,46.0,28.0,24.0,7.0,8.0,0.0,1.0,39.0,1168.0,1,Clay,64,M,2022,3,R64,60.0
R,27.5,22.0,1.0,106.0,71.0,56.0,24.0,17.0,6.0,7.0,76.0,708.0,0,Hard,32,A,2019,3,R32,152.0
R,29.5,5.0,2.0,82.0,50.0,32.0,18.0,14.0,2.0,5.0,60.0,770.0,0,Hard,32,A,2019,3,R16,99.0
R,29.2,2.0,3.0,93.0,53.0,35.0,22.0,12.0,5.0,7.0,15.0,2760.0,0,Hard,64,M,2021,3,R32,131.0
R,33.2,4.0,0.0,68.0,43.0,30.0,12.0,11.0,2.0,5.0,121.0,451.0,0,Hard,32,A,2019,3,R32,88.0
R,21.0,26.0,10.0,163.0,91.0,75.0,39.0,24.0,9.0,10.0,47.0,1028.0,1,Hard,128,G,2020,5,R128,174.0
L,24.1,0.0,3.0,57.0,47.0,29.0,2.0,8.0,3.0,6.0,57.0,960.0,0,Hard,64,M,2019,3,R64,62.0
R,37.5,9.0,0.0,85.0,57.0,43.0,19.0,16.0,4.0,6.0,194.0,277.0,1,Hard,32,A,2022,3,R16,132.0
R,31.6,1.0,0.0,47.0,39.0,27.0,4.0,9.0,0.0,2.0,55.0,895.0,0,Hard,32,A,2017,3,R32,71.0
R,39.3,61.0,6.0,216.0,154.0,127.0,35.0,36.0,5.0,6.0,112.0,480.0,0,Grass,128,G,2018,5,R64,235.0
R,26.5,7.0,7.0,120.0,67.0,52.0,25.0,17.0,7.0,9.0,129.0,437.0,1,Hard,32,A,2022,3,R32,167.0
R,22.5,4.0,7.0,59.0,40.0,23.0,8.0,10.0,4.0,8.0,91.0,836.0,0,Hard,128,M,2021,3,R64,96.0
L,33.8,5.0,1.0,78.0,50.0,34.0,17.0,13.0,5.0,7.0,70.0,869.0,0,Clay,64,A,2022,3,R64,110.0
L,24.9,8.0,5.0,162.0,109.0,77.0,30.0,27.0,2.0,6.0,49.0,1007.0,0,Hard,128,G,2020,5,R128,279.0
R,36.6,7.0,2.0,110.0,82.0,55.0,12.0,16.0,10.0,14.0,84.0,655.0,0,Clay,32,A,2017,3,R32,150.0
R,36.2,5.0,5.0,72.0,42.0,29.0,11.0,11.0,4.0,8.0,85.0,630.0,0,Hard,32,A,2022,3,R32,107.0
R,21.1,7.0,1.0,80.0,48.0,40.0,15.0,11.0,2.0,2.0,69.0,744.0,1,Hard,32,A,2022,3,SF,110.0
R,31.9,1.0,1.0,48.0,26.0,15.0,11.0,9.0,3.0,7.0,12.0,2920.0,0,Clay,64,M,2019,3,R16,72.0
R,22.2,1.0,2.0,100.0,63.0,39.0,18.0,14.0,8.0,12.0,191.0,367.0,0,Clay,4,D,2021,3,RR,142.0
R,21.7,5.0,1.0,99.0,48.0,37.0,31.0,15.0,2.0,3.0,20.0,1735.0,1,Hard,128,G,2018,5,R64,150.0
R,24.5,1.0,2.0,57.0,35.0,20.0,7.0,7.0,8.0,12.0,155.0,373.0,0,Hard,32,A,2018,3,R16,57.0
R,33.8,13.0,1.0,75.0,42.0,34.0,15.0,13.0,3.0,6.0,112.0,495.0,0,Hard,32,A,2019,3,R32,93.0
R,27.9,2.0,0.0,67.0,42.0,25.0,10.0,9.0,4.0,8.0,49.0,1154.0,0,Hard,32,A,2022,3,QF,95.0
R,34.8,13.0,6.0,154.0,93.0,70.0,35.0,22.0,7.0,8.0,34.0,1235.0,1,Hard,128,G,2018,5,R128,202.0
R,30.8,3.0,2.0,50.0,35.0,22.0,11.0,9.0,3.0,5.0,18.0,2155.0,1,Hard,128,M,2018,3,R64,67.0
R,24.8,6.0,6.0,90.0,64.0,50.0,9.0,15.0,4.0,7.0,3.0,7515.0,0,Hard,128,M,2022,3,R64,137.0
R,35.3,0.0,1.0,41.0,36.0,29.0,4.0,8.0,0.0,0.0,119.0,461.0,1,Hard,24,A,2020,3,RR,77.0
R,32.1,6.0,0.0,45.0,27.0,23.0,10.0,10.0,1.0,3.0,10.0,3040.0,0,Grass,32,A,2017,3,R16,69.0
R,29.0,4.0,2.0,64.0,46.0,33.0,6.0,10.0,5.0,8.0,111.0,615.0,0,Hard,32,A,2022,3,R16,83.0
L,27.6,9.0,8.0,155.0,92.0,67.0,32.0,21.0,14.0,16.0,69.0,835.0,0,Clay,128,G,2018,5,R64,197.0
R,23.5,3.0,4.0,58.0,43.0,30.0,6.0,10.0,3.0,6.0,149.0,370.0,0,Clay,32,A,2019,3,R32,74.0
R,23.3,11.0,1.0,66.0,41.0,37.0,13.0,13.0,1.0,2.0,143.0,383.0,1,Hard,32,A,2019,3,R16,122.0
R,30.9,1.0,1.0,44.0,20.0,14.0,15.0,9.0,0.0,3.0,19.0,1840.0,0,Clay,64,M,2018,3,R64,85.0
R,28.8,12.0,2.0,105.0,55.0,47.0,30.0,17.0,0.0,0.0,201.0,353.0,1,Hard,32,A,2021,3,R32,169.0
R,26.3,9.0,0.0,52.0,37.0,28.0,10.0,9.0,3.0,3.0,87.0,649.0,1,Hard,32,A,2019,3,R32,53.0
U,29.8,2.0,2.0,49.0,32.0,17.0,7.0,8.0,2.0,6.0,304.0,154.0,0,Hard,32,A,2021,3,R32,69.0
L,20.8,5.0,1.0,37.0,21.0,20.0,12.0,8.0,0.0,0.0,48.0,961.0,1,Hard,32,A,2022,3,R32,60.0
R,23.7,7.0,5.0,85.0,56.0,41.0,15.0,14.0,7.0,10.0,279.0,196.0,1,Hard,2,D,2021,3,RR,138.0
R,26.6,8.0,11.0,143.0,100.0,73.0,16.0,20.0,10.0,14.0,51.0,886.0,0,Hard,128,G,2017,5,R16,173.0
R,21.7,5.0,2.0,99.0,71.0,44.0,13.0,16.0,6.0,11.0,56.0,1078.0,0,Hard,32,A,2021,3,QF,148.0
R,31.1,3.0,1.0,87.0,61.0,39.0,16.0,15.0,3.0,6.0,20.0,1690.0,0,Grass,32,A,2019,3,QF,113.0
R,29.1,4.0,1.0,82.0,62.0,45.0,11.0,15.0,0.0,2.0,29.0,1441.0,1,Hard,128,G,2019,5,R128,111.0
R,30.1,4.0,4.0,148.0,81.0,53.0,35.0,17.0,17.0,21.0,53.0,979.0,0,Clay,64,A,2022,3,R16,203.0
R,31.8,9.0,6.0,96.0,56.0,47.0,16.0,15.0,4.0,6.0,134.0,566.0,1,Grass,32,A,2021,3,R32,116.0
U,17.6,2.0,7.0,78.0,37.0,21.0,17.0,12.0,7.0,13.0,1512.0,2.0,0,Clay,32,A,2021,3,R32,126.0
R,28.4,6.0,2.0,47.0,23.0,14.0,9.0,7.0,6.0,10.0,8.0,3410.0,0,Hard,32,A,2017,3,SF,84.0
L,22.0,3.0,1.0,36.0,22.0,14.0,6.0,5.0,2.0,4.0,142.0,530.0,0,Grass,32,A,2021,3,SF,39.0
R,31.3,5.0,1.0,59.0,38.0,25.0,8.0,10.0,3.0,7.0,351.0,63.0,0,Hard,32,A,2019,3,R32,83.0
R,25.5,0.0,2.0,36.0,23.0,11.0,3.0,7.0,1.0,6.0,24.0,1520.0,0,Hard,32,A,2019,3,QF,50.0
R,32.1,3.0,7.0,93.0,55.0,34.0,20.0,13.0,6.0,10.0,66.0,738.0,0,Hard,128,G,2017,5,R128,92.0
R,33.8,0.0,3.0,54.0,38.0,27.0,9.0,9.0,2.0,3.0,18.0,2548.0,1,Clay,64,M,2021,3,R32,81.0
L,26.2,6.0,3.0,82.0,65.0,43.0,10.0,13.0,3.0,5.0,12.0,2945.0,0,Hard,8,F,2021,3,RR,111.0
L,29.2,2.0,0.0,61.0,37.0,25.0,18.0,11.0,0.0,2.0,19.0,2135.0,1,Clay,64,A,2017,3,R32,106.0
R,18.4,3.0,2.0,69.0,53.0,27.0,9.0,10.0,5.0,10.0,106.0,541.0,0,Clay,4,D,2019,3,RR,96.0
L,23.3,7.0,2.0,59.0,39.0,23.0,11.0,9.0,8.0,12.0,93.0,616.0,0,Hard,32,A,2019,3,F,78.0
R,20.8,2.0,4.0,102.0,62.0,42.0,19.0,16.0,4.0,8.0,95.0,626.0,0,Grass,128,G,2022,5,R128,145.0
L,25.5,5.0,5.0,90.0,44.0,35.0,21.0,16.0,5.0,9.0,176.0,321.0,0,Grass,32,A,2018,3,R32,114.0
R,32.1,1.0,2.0,84.0,50.0,33.0,14.0,14.0,5.0,10.0,114.0,714.0,0,Clay,128,G,2021,5,R128,101.0
